decisao,nota,data,titulo,categorias,palavras,sinais,slug,id,url
redirecionar,-2,2011-10-21,9ª Reunião Conjunta da Comissão Episcopal,Notícias,274,ordena[çc][ãa]o cn,9%c2%aa-reuniao-conjunta-da-comissao-episcopal,1049,https://salvistas.com.br/9%c2%aa-reuniao-conjunta-da-comissao-episcopal/
redirecionar,-2,2011-10-27,Catequese com Papa Bento XVI,Notícias,1153,audiência,catequese-com-papa-bento-xvi,1067,https://salvistas.com.br/catequese-com-papa-bento-xvi/
redirecionar,-2,2011-11-01,Cardeal Odilo Scherer,Salvistas,460,(papa|bento xvi|card|dom |cnbb|bispo),cardeal-odilo-scherer,1072,https://salvistas.com.br/cardeal-odilo-scherer/
redirecionar,-2,2011-11-01,Seminário de Novas Mídias,Notícias,477,seminário nossa senhora cn,seminario-de-novas-midias,1071,https://salvistas.com.br/seminario-de-novas-midias/
redirecionar,-2,2012-05-23,Igreja lembra um ano de beatificação de Irmã Dulce,Mundo,413,cn,igreja-lembra-um-ano-de-beatificacao-de-irma-dulce,1121,https://salvistas.com.br/igreja-lembra-um-ano-de-beatificacao-de-irma-dulce/
redirecionar,-2,2012-07-04,Papa nomeia novo bispo para a Bahia,Notícias,227,ordena[çc][ãa]o votos cn (papa|bento xvi|card|dom |cnbb|bispo),papa-nomeia-novo-bispo-para-a-bahia,1154,https://salvistas.com.br/papa-nomeia-novo-bispo-para-a-bahia/
redirecionar,-2,2012-07-23,Abertura do Encontro da Pascom,Notícias,657,testemunho cn,abertura-do-encontro-da-pascom,1233,https://salvistas.com.br/abertura-do-encontro-da-pascom/
redirecionar,-2,2012-08-01,Nomeação,Notícias,186,ordena[çc][ãa]o cn,nomeacao,1354,https://salvistas.com.br/nomeacao/
redirecionar,-2,2012-08-08,Mensagem aos Diáconos Permanentes do Brasil,Notícias,889,testemunho cn,mensagem-aos-diaconos-permanentes-do-brasil,1376,https://salvistas.com.br/mensagem-aos-diaconos-permanentes-do-brasil/
redirecionar,-2,2012-08-24,JMJ 2013: Começam as inscrições!,Notícias,408,cn,jmj-2013-comecam-as-inscricoes,1489,https://salvistas.com.br/jmj-2013-comecam-as-inscricoes/
redirecionar,-2,2012-09-13,Vaticano no cambate à lavagem de dinheiro,Notícias,182,cn,vaticano-no-cambate-a-lavagem-de-dinheiro,1662,https://salvistas.com.br/vaticano-no-cambate-a-lavagem-de-dinheiro/
